RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Pat Connaughton,Cha,*,G,32.9,9,9.5,15.2,10.3,5,0.6,10,0.6,16,0.375,0.577,0.585,3.7,2.0,0.7,0.4,0.1,0.3,5.7,4.3,6.3,7.3,119.2,115.5
,Quenton Jackson,Ind,*,G,27.2,5,20.1,20.5,13.9,18,0.722,25,0.56,12,0.5,0.622,0.657,11.8,3.4,3.6,1.0,0.2,1.2,15.2,15.4,18.8,10.4,130.7,111.4
,Collin Murray-Boyles,Tor,*,F,20.4,10,20.4,17.4,14.4,19,0.737,47,0.511,18,0.5,0.577,0.607,8.9,3.7,1.2,0.8,0.5,1.1,12.6,10.1,13.8,6.7,120.5,107.1
,Miles Kelly,Dal,*,G,22.8,1,2.2,19.0,100.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bogdan Bogdanovic,Lac,*,G,33.2,6,24.7,18.1,17.4,8,0.875,17,0.412,30,0.4,0.532,0.564,9.5,3.2,3.2,1.0,0.2,1.7,12.7,12.7,15.8,7.4,109.5,111.4
,Chris Manon,Lal,*,G,23.9,2,3.5,6.2,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
,Devin Carter,Sac,*,G,23.7,8,8.1,19.0,21.9,5,1.0,10,0.3,11,0.182,0.286,0.366,2.1,1.5,1.1,0.8,0.1,0.8,3.6,3.3,4.8,7.5,81.0,108.6
,Luke Travers,Cle,*,F,24.2,6,7.8,16.8,5.7,6,1.0,10,0.2,6,0.0,0.125,0.268,1.7,1.8,0.7,0.5,0.7,0.2,3.5,2.3,4.2,6.6,83.8,111.8
,Thomas Bryant,Cle,*,C-F,28.3,8,6.7,18.3,4.3,3,0.0,12,0.833,10,0.0,0.455,0.429,2.5,1.9,0.1,0.4,0.4,0.1,4.4,2.6,4.5,4.7,96.5,103.6
,Colby Jones,Det,*,G,23.5,1,6.8,18.0,0.0,0,0.0,1,1.0,2,0.0,0.333,0.333,2.0,4.0,2.0,0.0,0.0,0.0,6.0,4.0,8.0,14.8,105.2,85.5
,Bobi Klintman,Det,*,F,22.7,6,8.8,21.0,19.2,3,0.0,10,0.4,11,0.273,0.405,0.381,2.8,2.7,0.7,0.3,0.0,0.8,5.5,3.5,6.2,7.9,81.1,94.4
,Tolu Smith,Det,*,F,25.3,2,11.2,22.1,10.7,7,0.714,8,0.75,0,0.0,0.75,0.767,8.5,5.5,1.0,0.5,0.5,0.5,14.0,9.5,15.0,12.9,155.2,99.1
,Noah Penda,Orl,*,G-F,20.9,7,6.7,14.2,20.9,4,0.75,9,0.444,2,1.0,0.636,0.666,2.4,1.9,0.9,0.1,0.3,0.4,4.3,3.3,5.1,9.6,134.0,102.7
,Eric Gordon,Phi,*,G,36.9,3,7.1,13.6,28.6,0,0.0,1,1.0,4,0.5,0.8,0.8,2.7,0.0,0.3,0.3,0.0,0.7,2.7,3.0,3.0,0.0,105.8,112.9
,Hunter Sallis,Phi,*,G,22.6,3,2.2,18.9,66.7,0,0.0,1,1.0,0,0.0,1.0,1.0,0.7,0.3,0.3,0.0,0.0,0.7,1.0,1.0,1.3,7.2,0.0,0.0
,Tyson Etienne,Bro,*,G,20.0,4,5.8,14.6,0.0,0,0.0,1,0.0,7,0.143,0.188,0.188,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,44.0,120.5
,E.J. Liddell,Bro,*,F,24.9,4,5.6,19.5,0.0,3,0.667,3,0.667,6,0.333,0.556,0.581,3.0,1.8,0.0,0.0,0.0,0.0,4.8,3.0,4.8,0.0,123.3,111.1
,JD Davison,Hou,*,G,23.1,5,4.7,15.4,0.0,2,0.0,2,0.5,6,0.5,0.688,0.619,2.2,0.0,0.4,0.2,0.2,0.0,2.2,2.6,2.6,0.0,139.6,112.6
,Aaron Holiday,Hou,*,G,29.1,6,7.2,21.0,25.8,7,0.857,5,0.8,9,0.333,0.607,0.673,3.8,0.5,1.2,0.2,0.2,0.8,4.3,5.0,5.5,7.3,120.8,108.0
,Jae'Sean Tate,Hou,*,F,30.1,7,5.6,12.6,8.3,0,0.0,8,0.5,3,0.0,0.364,0.364,1.1,0.9,0.1,0.1,0.0,0.1,2.0,1.3,2.1,3.3,86.9,102.1
,Jeff Green,Hou,*,F,39.2,5,4.2,11.7,0.0,0,0.0,0,0.0,6,0.667,1.0,1.0,2.4,0.4,0.0,0.0,0.2,0.0,2.8,2.4,2.8,0.0,201.1,112.2
,Ron Harper Jr.,Bos,*,G-F,25.6,3,5.2,19.2,0.0,0,0.0,1,1.0,6,0.333,0.571,0.571,2.7,1.0,1.0,0.0,0.3,0.0,3.7,3.7,4.7,10.7,142.9,105.4
,DeAndre Jordan,Nor,*,C,37.3,2,11.7,12.5,16.1,2,0.5,5,0.8,0,0.0,0.8,0.765,4.5,5.0,0.0,0.0,0.0,0.5,9.5,4.5,9.5,0.0,142.5,119.7
,Micah Peavy,Nor,*,G-F,24.3,8,11.2,12.2,7.9,2,0.5,14,0.357,9,0.111,0.283,0.293,1.8,2.3,0.6,0.1,0.1,0.3,4.0,2.4,4.6,4.8,87.9,112.6
,Karlo Matkovic,Nor,*,F-C,24.6,10,9.5,15.8,9.3,8,0.375,24,0.75,5,0.4,0.724,0.692,4.5,2.5,0.5,0.0,0.5,0.3,7.0,5.0,7.5,7.5,132.7,114.4
